id,codigo_taco,grupo,descricao,umidade,energia_kcal,energia_kj,proteina_g,lipideos_g,colesterol_mg,carboidratos_g,fibra_alimentar_g,cinzas_g,observacao,fonte,created_at,updated_at
186,186,FRUTAS_E_DERIVADOS,"Caju, cru",88.11,43.07,180.18,0.97,0.33,0.00,10.29,1.68,0.30,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
187,187,FRUTAS_E_DERIVADOS,"Caju, polpa, congelada",89.82,36.57,153.00,0.48,0.15,0.00,9.35,0.81,0.20,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
188,188,FRUTAS_E_DERIVADOS,"Caju, suco concen0ado, envasado",88.37,45.11,188.73,0.40,0.20,0.00,10.73,0.63,0.29,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
189,189,FRUTAS_E_DERIVADOS,"Caqui, chocolate, cru",79.72,71.35,298.53,0.36,0.07,0.00,19.33,6.52,0.52,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
190,190,FRUTAS_E_DERIVADOS,"Carambola, crua",87.10,45.74,191.38,0.87,0.18,0.00,11.48,2.03,0.37,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
191,191,FRUTAS_E_DERIVADOS,"Ciriguela, crua",78.69,75.59,316.29,1.40,0.36,0.00,18.86,3.90,0.70,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
192,192,FRUTAS_E_DERIVADOS,"Cupuaçu, cru",86.23,49.42,206.78,1.16,0.95,0.00,10.43,3.12,1.22,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
193,193,FRUTAS_E_DERIVADOS,"Cupuaçu, polpa, congelada",86.55,48.80,204.17,0.84,0.59,0.00,11.39,1.59,0.62,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
194,194,FRUTAS_E_DERIVADOS,"Figo, cru",88.19,41.45,173.41,0.97,0.16,0.00,10.25,1.79,0.44,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
195,195,FRUTAS_E_DERIVADOS,"Figo, enlatado, em calda",48.77,184.36,771.37,0.56,0.15,0.00,50.34,1.98,0.18,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
196,196,FRUTAS_E_DERIVADOS,"Fruta-pão, crua",80.87,67.05,280.52,1.08,0.19,0.00,17.17,5.55,0.69,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
197,197,FRUTAS_E_DERIVADOS,"Goiaba, branca, com casca, crua",85.69,51.74,216.47,0.90,0.49,0.00,12.40,6.33,0.52,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
198,198,FRUTAS_E_DERIVADOS,"Goiaba, doce em pasta",24.78,268.96,1125.33,0.58,0.00,0.00,74.12,3.73,0.52,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
199,199,FRUTAS_E_DERIVADOS,"Goiaba, doce, cascão",20.26,285.59,1194.90,0.41,0.10,0.00,78.70,4.37,0.52,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
200,200,FRUTAS_E_DERIVADOS,"Goiaba, vermelha, com casca, crua",84.98,54.17,226.65,1.09,0.44,0.00,13.01,6.22,0.48,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
201,201,FRUTAS_E_DERIVADOS,"Graviola, crua",82.15,61.62,257.83,0.85,0.21,0.00,15.84,1.91,0.95,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
202,202,FRUTAS_E_DERIVADOS,"Graviola, polpa, congelada",89.16,38.27,160.14,0.57,0.14,0.00,9.78,1.19,0.35,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
203,203,FRUTAS_E_DERIVADOS,"Jabuticaba, crua",83.65,58.05,242.89,0.61,0.13,0.00,15.26,2.30,0.36,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
204,204,FRUTAS_E_DERIVADOS,"Jaca, crua",75.07,87.92,367.86,1.40,0.27,0.00,22.50,2.39,0.76,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
205,205,FRUTAS_E_DERIVADOS,"Jambo, cru",92.10,26.91,112.60,0.89,0.07,0.00,6.49,5.07,0.45,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
206,206,FRUTAS_E_DERIVADOS,"Jamelão, cru",87.67,41.01,171.58,0.55,0.11,0.00,10.63,1.78,1.04,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
207,207,FRUTAS_E_DERIVADOS,"Kiwi, cru",85.88,51.14,213.95,1.34,0.63,0.00,11.50,2.65,0.66,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
208,208,FRUTAS_E_DERIVADOS,"Laranja, baía, crua",87.08,45.44,190.11,0.98,0.10,0.00,11.47,1.12,0.37,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
209,209,FRUTAS_E_DERIVADOS,"Laranja, baía, suco",90.25,36.65,153.34,0.65,0.00,0.00,8.70,0.00,0.36,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
210,210,FRUTAS_E_DERIVADOS,"Laranja, da terra, crua",85.38,51.47,215.36,1.08,0.19,0.00,12.86,3.98,0.50,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
211,211,FRUTAS_E_DERIVADOS,"Laranja, da terra, suco",89.22,40.96,171.36,0.67,0.14,0.00,9.57,1.03,0.40,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
212,212,FRUTAS_E_DERIVADOS,"Laranja, lima, crua",86.97,45.70,191.21,1.06,0.08,0.00,11.53,1.78,0.36,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
213,213,FRUTAS_E_DERIVADOS,"Laranja, lima, suco",89.68,39.34,164.58,0.71,0.12,0.00,9.17,0.42,0.32,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
214,214,FRUTAS_E_DERIVADOS,"Laranja, pêra, crua",89.55,36.77,153.86,1.04,0.13,0.00,8.95,0.77,0.33,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
215,215,FRUTAS_E_DERIVADOS,"Laranja, pêra, suco",91.29,32.71,136.86,0.74,0.07,0.00,7.55,0.00,0.34,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
216,216,FRUTAS_E_DERIVADOS,"Laranja, valência, crua",86.94,46.11,192.92,0.77,0.16,0.00,11.72,1.73,0.41,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
217,217,FRUTAS_E_DERIVADOS,"Laranja, valência, suco",90.53,36.20,151.45,0.48,0.12,0.00,8.55,0.42,0.31,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
218,218,FRUTAS_E_DERIVADOS,"Limão, cravo, suco",94.19,14.10,59.01,0.33,0.00,0.00,5.25,0.00,0.24,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
219,219,FRUTAS_E_DERIVADOS,"Limão, galego, suco",91.80,22.23,92.99,0.57,0.07,0.00,7.32,0.00,0.25,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
220,220,FRUTAS_E_DERIVADOS,"Limão, tahiti, cru",87.43,31.82,133.13,0.94,0.14,0.00,11.08,1.18,0.41,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
221,221,FRUTAS_E_DERIVADOS,"Maçã, Argenti0, com casca, crua",82.65,62.53,261.63,0.23,0.25,0.00,16.59,2.03,0.29,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
222,222,FRUTAS_E_DERIVADOS,"Maçã, Fuji, com casca, crua",84.34,55.52,232.28,0.29,0.00,0.00,15.15,1.35,0.22,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
223,223,FRUTAS_E_DERIVADOS,"Macaúba, crua",41.53,404.28,1691.52,2.08,40.66,0.00,13.95,13.44,1.79,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
224,224,FRUTAS_E_DERIVADOS," Mamão, doce em calda, dre0do",45.53,195.63,818.51,0.19,0.07,0.00,54.00,1.31,0.21,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
225,225,FRUTAS_E_DERIVADOS,"Mamão, Formosa, cru",86.93,45.34,189.71,0.82,0.12,0.00,11.55,1.81,0.58,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
226,226,FRUTAS_E_DERIVADOS,"Mamão, Papaia, cru",88.58,40.16,168.02,0.46,0.12,0.00,10.44,1.04,0.40,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
227,227,FRUTAS_E_DERIVADOS," Mamão verde, doce em calda, dre0do",41.88,209.38,876.03,0.32,0.10,0.00,57.64,1.23,0.07,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
228,228,FRUTAS_E_DERIVADOS,"Manga, Haden, crua",82.29,63.50,265.69,0.41,0.26,0.00,16.66,1.58,0.39,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
229,229,FRUTAS_E_DERIVADOS,"Manga, Palmer, crua",79.74,72.49,303.28,0.41,0.17,0.00,19.35,1.63,0.33,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
230,230,FRUTAS_E_DERIVADOS,"Manga, polpa, congelada",86.50,48.31,202.11,0.38,0.23,0.00,12.52,1.07,0.37,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
231,231,FRUTAS_E_DERIVADOS,"Manga, Tommy Atkins, crua",85.81,50.69,212.10,0.86,0.22,0.00,12.77,2.07,0.34,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
232,232,FRUTAS_E_DERIVADOS,"Maracujá, cru",82.85,68.44,286.35,1.99,2.10,0.00,12.26,1.14,0.79,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
233,233,FRUTAS_E_DERIVADOS,"Maracujá, polpa, congelada",88.90,38.76,162.17,0.81,0.18,0.00,9.60,0.51,0.52,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
234,234,FRUTAS_E_DERIVADOS,"Maracujá, suco concen0ado, envasado",88.94,41.97,175.59,0.77,0.19,0.00,9.64,0.35,0.46,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
235,235,FRUTAS_E_DERIVADOS,"Melancia, crua",90.67,32.61,136.43,0.88,0.00,0.00,8.14,0.12,0.27,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
236,236,FRUTAS_E_DERIVADOS,"Melão, cru",91.28,29.37,122.88,0.68,0.00,0.00,7.53,0.25,0.52,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
237,237,FRUTAS_E_DERIVADOS,"Mexerica, Murcote, crua",83.65,57.59,240.97,0.88,0.13,0.00,14.86,3.07,0.47,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
238,238,FRUTAS_E_DERIVADOS,"Mexerica, Rio, crua",89.57,36.87,154.27,0.65,0.13,0.00,9.34,2.73,0.32,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
239,239,FRUTAS_E_DERIVADOS,"Morango, cru",91.53,30.15,126.14,0.89,0.31,0.00,6.82,1.72,0.45,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
240,240,FRUTAS_E_DERIVADOS,"Nêspera, crua",87.76,42.54,177.98,0.31,0.00,0.00,11.53,2.96,0.40,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
241,241,FRUTAS_E_DERIVADOS,"Pequi, cru",65.89,204.97,857.58,2.34,17.97,0.00,12.97,19.04,0.83,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
242,242,FRUTAS_E_DERIVADOS,"Pêra, Park, crua",83.19,60.59,253.50,0.24,0.23,0.00,16.07,2.98,0.27,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
243,243,FRUTAS_E_DERIVADOS,"Pêra, Williams, crua",85.03,53.31,223.05,0.57,0.11,0.00,14.02,3.01,0.27,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
244,244,FRUTAS_E_DERIVADOS,"Pêssego, Aurora, cru",89.32,36.33,151.99,0.83,0.00,0.00,9.32,1.42,0.53,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
245,245,FRUTAS_E_DERIVADOS,"Pêssego, enlatado, em calda",82.19,63.14,264.19,0.71,0.00,0.00,16.88,1.02,0.23,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
246,246,FRUTAS_E_DERIVADOS,"Pinha, crua",75.05,88.47,370.17,1.49,0.32,0.00,22.45,3.36,0.70,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
247,247,FRUTAS_E_DERIVADOS,"Pitanga, crua",88.29,41.42,173.28,0.93,0.17,0.00,10.24,3.24,0.36,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
248,248,FRUTAS_E_DERIVADOS,"Pitanga, polpa, congelada",94.57,19.11,79.94,0.29,0.12,0.00,4.76,0.74,0.26,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
249,249,FRUTAS_E_DERIVADOS,"Romã, crua",83.99,55.74,233.21,0.40,0.00,0.00,15.11,0.44,0.50,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
250,250,FRUTAS_E_DERIVADOS,"Tamarindo, cru",21.95,275.70,1153.51,3.21,0.46,0.00,72.53,6.45,1.86,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
251,251,FRUTAS_E_DERIVADOS,"Tangeri0, Poncã, crua",89.22,37.83,158.22,0.85,0.07,0.00,9.61,0.94,0.31,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
252,252,FRUTAS_E_DERIVADOS,"Tangeri0, Poncã, suco",90.44,36.11,150.98,0.52,0.00,0.00,8.80,0.00,0.28,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
253,253,FRUTAS_E_DERIVADOS,"Tucumã, cru",51.26,262.02,1096.27,2.09,19.08,0.00,26.47,12.65,1.09,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
254,254,FRUTAS_E_DERIVADOS,"Umbu, cru",89.25,37.02,154.88,0.84,0.00,0.00,9.40,1.98,0.47,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
255,255,FRUTAS_E_DERIVADOS,"Umbu, polpa, congelada",90.19,33.94,142.02,0.51,0.07,0.00,8.79,1.34,0.45,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
256,256,FRUTAS_E_DERIVADOS,"Uva, Itália, crua",84.97,52.87,221.16,0.75,0.20,0.00,13.57,0.92,0.57,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
257,257,FRUTAS_E_DERIVADOS,"Uva, Rubi, crua",86.08,49.06,205.27,0.61,0.16,0.00,12.70,0.93,0.46,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
258,258,FRUTAS_E_DERIVADOS,"Uva, suco concen0ado, envasado",85.13,57.66,241.23,0.00,0.00,0.00,14.71,0.23,0.16,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
259,259,GORDURAS_E_OLEOS,"Azeite, de dendê",0.00,884.00,3698.66,0.00,100.00,0.00,0.00,0.00,NULL,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
260,260,GORDURAS_E_OLEOS,"Azeite, de oliva, ex0a virgem",0.00,884.00,3698.66,0.00,100.00,0.00,0.00,0.00,NULL,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
261,261,GORDURAS_E_OLEOS,"Manteiga, com sal",15.79,725.97,3037.45,0.41,82.36,200.55,0.06,0.00,1.37,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
262,262,GORDURAS_E_OLEOS,"Manteiga, sem sal",13.63,757.54,3169.55,0.40,86.04,213.95,0.00,0.00,0.05,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
263,263,GORDURAS_E_OLEOS,"Margari0, com óleo hidroge0do, com sal (65% de lipídeos)",32.23,596.12,2494.16,0.00,67.43,0.00,0.00,0.00,1.94,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
264,264,GORDURAS_E_OLEOS,"Margari0, com óleo hidroge0do, sem sal (80% de lipídeos)",19.59,722.53,3023.05,0.00,81.73,0.00,0.00,0.00,0.16,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
265,265,GORDURAS_E_OLEOS,"Margari0, com óleo interesterificado, com sal (65%de lipídeos)",31.97,594.45,2487.19,0.00,67.25,0.00,0.00,0.00,1.25,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
266,266,GORDURAS_E_OLEOS,"Margari0, com óleo interesterificado, sem sal (65% de lipídeos)",33.37,593.14,2481.69,0.00,67.10,0.00,0.00,0.00,0.10,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
267,267,GORDURAS_E_OLEOS,"Óleo, de babaçu",0.00,884.00,3698.66,0.00,100.00,0.00,0.00,0.00,NULL,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
268,268,GORDURAS_E_OLEOS,"Óleo, de canola",0.00,884.00,3698.66,0.00,100.00,0.00,0.00,0.00,NULL,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
269,269,GORDURAS_E_OLEOS,"Óleo, de girassol",0.00,884.00,3698.66,0.00,100.00,0.00,0.00,0.00,NULL,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
270,270,GORDURAS_E_OLEOS,"Óleo, de milho",0.00,884.00,3698.66,0.00,100.00,0.00,0.00,0.00,NULL,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
271,271,GORDURAS_E_OLEOS,"Óleo, de pequi",0.00,884.00,3698.66,0.00,100.00,0.00,0.00,0.00,NULL,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
272,272,GORDURAS_E_OLEOS,"Óleo, de soja",0.00,884.00,3698.66,0.00,100.00,0.00,0.00,0.00,NULL,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
273,273,PESCADOS_E_FRUTOS_DO_MAR,"Abadejo, filé, congelado, assado",74.32,111.62,467.00,23.53,1.24,102.80,0.00,0.00,1.65,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
274,274,PESCADOS_E_FRUTOS_DO_MAR,"Abadejo, filé, congelado,cozido",79.73,91.10,381.18,19.35,0.94,86.86,0.00,0.00,0.89,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
275,275,PESCADOS_E_FRUTOS_DO_MAR,"Abadejo, filé, congelado, cru",86.42,59.11,247.33,13.08,0.36,31.41,0.00,0.00,0.63,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
276,276,PESCADOS_E_FRUTOS_DO_MAR,"Abadejo, filé, congelado, grelhado",70.96,129.64,542.43,27.61,1.30,135.85,0.00,0.00,1.59,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
277,277,PESCADOS_E_FRUTOS_DO_MAR,"Atum, conserva em óleo",64.50,165.91,694.17,26.19,6.00,52.94,0.00,0.00,1.53,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
278,278,PESCADOS_E_FRUTOS_DO_MAR,"Atum, fresco, cru",73.05,117.50,491.62,25.68,0.87,47.80,0.00,0.00,1.31,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
279,279,PESCADOS_E_FRUTOS_DO_MAR,"Bacalhau, salgado, cru",47.89,135.89,568.58,29.04,1.32,138.88,0.00,0.00,22.50,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
280,280,PESCADOS_E_FRUTOS_DO_MAR,"Bacalhau, salgado, refogado",65.91,139.66,584.34,23.98,3.61,111.97,1.22,NULL,5.28,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
281,281,PESCADOS_E_FRUTOS_DO_MAR,"Cação, posta, com farinha de 0igo, frita",60.62,208.33,871.66,24.95,9.95,74.91,3.10,0.54,1.37,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
282,282,PESCADOS_E_FRUTOS_DO_MAR,"Cação, posta, cozida",75.93,116.01,485.40,25.59,0.75,83.25,0.00,0.00,1.18,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
283,283,PESCADOS_E_FRUTOS_DO_MAR,"Cação, posta, crua",81.38,83.33,348.67,17.85,0.79,36.13,0.00,0.00,1.24,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
284,284,PESCADOS_E_FRUTOS_DO_MAR,"Camarão, Rio Grande, grande, cozido",78.71,90.01,376.62,18.97,1.00,240.85,0.00,0.00,1.73,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
285,285,PESCADOS_E_FRUTOS_DO_MAR,"Camarão, Rio Grande, grande, cru",89.13,47.18,197.42,9.99,0.50,123.99,0.00,0.00,0.80,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
286,286,PESCADOS_E_FRUTOS_DO_MAR,"Camarão, Sete Barbas, sem cabeça, com casca, frito",61.04,231.25,967.53,18.39,15.62,283.14,2.88,0.00,2.07,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
287,287,PESCADOS_E_FRUTOS_DO_MAR,"Caranguejo, cozido",77.00,82.72,346.11,18.48,0.42,84.61,0.00,0.00,3.55,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
288,288,PESCADOS_E_FRUTOS_DO_MAR,"Corimba, cru",75.64,128.16,536.20,17.37,5.99,40.23,-0.03,0.00,1.03,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
289,289,PESCADOS_E_FRUTOS_DO_MAR,"Corimbatá, assado",59.93,261.45,1093.92,19.90,19.57,80.09,0.00,0.00,0.96,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
290,290,PESCADOS_E_FRUTOS_DO_MAR,"Corimbatá, cozido",64.56,238.70,998.70,20.13,16.93,74.62,0.00,0.00,0.84,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
291,291,PESCADOS_E_FRUTOS_DO_MAR,"Corvi0 de água doce, crua",79.25,101.01,422.62,18.92,2.24,73.11,0.00,0.00,1.02,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
292,292,PESCADOS_E_FRUTOS_DO_MAR,"Corvi0 do mar, crua",79.35,94.00,391.52,18.57,1.58,67.07,0.00,0.00,1.08,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
293,293,PESCADOS_E_FRUTOS_DO_MAR,"Corvi0 grande, assada",69.03,146.53,613.07,26.77,3.57,117.05,0.00,0.00,1.35,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
294,294,PESCADOS_E_FRUTOS_DO_MAR,"Corvi0 grande, cozida",73.61,100.08,418.73,23.44,2.56,122.56,0.00,0.00,0.90,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
295,295,PESCADOS_E_FRUTOS_DO_MAR,"Dourada de água doce, fresca",76.16,131.21,548.98,18.81,5.64,51.99,0.00,0.00,1.07,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
296,296,PESCADOS_E_FRUTOS_DO_MAR,"Lambari, congelado, cru",71.89,130.84,547.44,16.81,6.55,158.66,0.00,0.00,3.57,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
297,297,PESCADOS_E_FRUTOS_DO_MAR,"Lambari, congelado, frito",40.14,326.87,1367.62,28.43,22.78,246.32,0.00,0.00,6.17,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
298,298,PESCADOS_E_FRUTOS_DO_MAR,"Lambari, fresco, cru",72.17,151.60,634.29,15.65,9.40,144.25,0.00,0.00,2.21,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
299,299,PESCADOS_E_FRUTOS_DO_MAR,"Manjuba, com farinha de 0igo, frita",41.31,343.55,1437.42,23.45,22.59,281.76,10.24,0.36,2.41,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
300,300,PESCADOS_E_FRUTOS_DO_MAR,"Manjuba, frita",40.68,349.33,1461.58,30.14,24.46,270.34,0.00,0.00,4.23,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
301,301,PESCADOS_E_FRUTOS_DO_MAR,"Merluza, filé, assado",70.73,121.91,510.07,26.60,0.92,90.97,0.00,0.00,1.24,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
302,302,PESCADOS_E_FRUTOS_DO_MAR,"Merluza, filé, cru",82.07,89.13,372.92,16.61,2.02,57.18,0.00,0.00,1.14,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
303,303,PESCADOS_E_FRUTOS_DO_MAR,"Merluza, filé, frito",63.46,191.63,801.77,26.93,8.50,109.10,0.00,0.00,1.53,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
304,304,PESCADOS_E_FRUTOS_DO_MAR,"Pescada, branca, crua",79.57,110.88,463.91,16.26,4.59,50.77,0.00,0.00,0.94,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
305,305,PESCADOS_E_FRUTOS_DO_MAR,"Pescada, branca, frita",57.00,223.04,933.20,27.36,11.78,165.44,0.00,0.00,3.24,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
306,306,PESCADOS_E_FRUTOS_DO_MAR,"Pescada, filé, com farinha de 0igo, frito",53.20,283.43,1185.85,21.44,19.12,72.97,5.03,0.00,1.21,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:54:08"
